EvalNumber,Fitness,TimeElapsed,initialGrass,initialBunny,initialFox,bunnyStart,bunnyFood,bunnyCooldown,bunnyFed,bunnyChildren,bunnyLiveLength,foxStart,foxCooldown,foxFed,foxChildren,foxLiveLength,grassFood,grassCooldown,grassChildren,grassLiveLength
97,46,0.3784,45,46,10,14,27,1,33,1,31,8,29,19,3,46,49,6,4,42
98,15,0.1236,31,47,35,37,42,25,48,3,37,11,3,6,1,41,23,19,3,17
99,23,0.1161,33,49,2,18,47,36,35,1,34,8,20,14,2,42,26,7,4,22
100,44,0.1193,48,49,14,22,31,8,48,3,37,4,16,18,3,44,31,6,4,31
101,22,0.0871,45,44,1,19,41,4,28,1,49,17,11,17,4,48,33,12,4,19
102,24,0.0577,30,24,1,26,29,18,33,2,37,24,10,35,3,38,41,25,4,37
103,16,0.0581,39,48,2,14,47,10,49,1,35,2,6,8,4,45,37,16,4,42
104,44,0.1421,48,47,8,24,42,20,39,3,45,16,15,11,3,49,45,10,4,36
105,33,0.1144,49,48,9,24,37,2,31,1,42,25,12,17,4,49,26,20,4,25
106,1,0.0329,48,34,6,1,11,34,46,3,45,4,10,27,2,49,44,12,4,20
107,19,0.0616,15,32,29,12,39,23,35,1,40,13,11,16,1,19,18,5,4,48
108,21,0.0775,41,23,26,4,49,6,18,4,43,15,13,10,4,48,36,12,4,38
109,30,0.1434,40,9,17,26,45,2,36,2,28,2,43,27,4,49,27,4,4,20
110,28,0.1042,30,31,23,24,45,13,36,2,35,7,11,16,3,45,35,20,4,27
111,52,0.4048,49,31,14,5,36,1,38,2,46,8,15,38,3,46,42,6,4,33
112,48,0.1138,48,35,7,22,37,19,47,2,44,10,18,24,4,49,32,7,4,49
113,21,0.0752,30,47,29,7,43,11,41,3,42,11,21,31,3,38,22,19,3,43
114,33,0.0625,37,29,2,10,22,8,43,3,42,22,2,26,4,44,22,9,3,42
115,34,0.1039,40,20,9,33,17,11,45,4,34,3,14,11,4,49,40,10,4,36
116,22,0.0702,42,24,6,31,37,14,41,1,49,3,8,16,4,31,35,16,4,36
117,13,0.0795,42,43,1,43,49,11,1,1,39,3,8,20,3,41,39,8,3,35
118,46,0.167,30,44,22,40,31,6,35,3,43,7,9,18,4,34,18,6,4,38
119,42,0.2287,28,49,16,22,34,24,18,3,48,16,19,16,3,37,32,4,3,19
120,41,0.1814,49,28,3,24,23,11,32,2,38,26,15,6,4,28,38,5,4,36
121,21,0.0739,28,44,6,18,25,14,41,3,42,3,22,17,4,28,29,7,4,29
122,1,0.0408,37,47,1,4,49,8,49,3,24,1,10,18,4,45,49,6,3,18
123,1,0.0375,43,48,9,21,49,14,46,2,44,1,15,21,4,17,16,21,3,44
124,37,0.0917,41,28,7,29,49,10,43,2,31,7,6,37,3,40,34,5,2,15
125,24,0.0782,48,49,12,4,36,11,45,1,33,15,1,28,1,31,39,22,4,36
126,13,0.0858,47,42,1,32,39,12,24,2,49,7,4,8,4,33,29,24,4,35
127,1,0.0394,41,47,10,1,32,34,39,1,37,7,2,17,4,35,25,7,3,18
128,1,0.0374,31,44,3,15,24,24,47,2,44,1,27,4,3,36,20,29,4,35
129,36,0.1221,40,39,13,23,27,8,29,1,37,4,25,24,4,36,16,4,4,36
130,26,0.0795,26,48,5,21,42,2,42,1,43,17,28,32,4,47,26,17,4,48
131,23,0.0726,12,38,8,19,25,11,22,3,40,20,18,36,4,30,37,13,4,44
132,31,0.1037,38,30,22,21,33,2,32,1,49,12,23,11,2,47,24,18,4,42
133,44,0.2188,43,37,2,7,43,25,49,2,44,18,20,30,3,49,22,3,4,39
134,41,0.0983,46,38,14,26,49,5,35,2,36,4,15,20,4,42,43,14,4,41
135,31,0.0481,49,16,4,6,32,21,46,1,45,13,4,15,4,49,9,20,4,48
136,25,0.0773,46,19,14,17,18,26,18,1,42,17,15,39,4,27,32,4,4,45
137,29,0.0719,26,40,11,29,41,7,49,2,46,27,10,49,3,22,18,10,3,49
138,8,0.0507,31,48,27,11,38,18,40,3,49,4,27,30,4,46,44,20,3,8
139,34,0.0828,48,49,10,15,45,8,28,4,46,18,41,17,1,47,28,17,4,27
140,1,0.0303,34,29,15,1,28,3,49,3,45,19,7,14,4,49,32,3,3,44
141,37,0.1326,31,24,3,23,42,17,21,3,35,7,14,2,3,49,33,7,4,39
142,24,0.1216,44,33,24,34,49,18,47,1,37,10,19,1,3,44,3,14,4,49
143,33,0.1149,41,30,4,27,43,4,23,1,46,19,31,26,4,35,29,7,4,35
144,39,0.0866,46,36,10,8,44,6,49,1,49,28,35,32,3,48,25,10,2,26
145,35,0.1013,48,34,15,35,47,16,38,1,40,3,11,24,4,49,16,23,3,37
146,26,0.1405,49,36,9,29,34,15,46,1,38,11,31,31,4,25,33,2,4,30
147,24,0.0848,41,48,16,6,33,18,47,2,42,19,12,14,4,39,21,20,4,33
148,25,0.0814,44,46,19,27,46,2,48,1,38,17,21,33,4,38,20,14,3,47
149,44,0.3212,45,42,5,10,48,6,37,2,49,23,13,30,4,41,24,1,3,49
150,28,0.0849,39,49,5,22,33,6,48,2,49,35,30,6,3,42,49,22,4,44
151,13,0.0576,18,45,1,30,38,16,45,2,39,29,17,31,4,49,26,19,3,19
